10.5,Drama,172,1,707729162926
"10th Kingdom",Drama,"PO 89 90 91 92 93 94",2,707729109723
11:14,Drama,312,3,794043838927
"13 Going 30",Romance,"CDISK2 20",4,043396014213
"13th Child",Horror,308,5,039414581393
"15 Minutes",Action,"GP2 15 16",6,794043516627
"16 Blocks",Action,S9,7,012569810402
"2 B Perfectly Honest",Comedy,"CDISK2 13",8,723952077141
"2 Fast 2 Furious",Action,"BC 26 27",9,025192297526
"200 Cigarettes",Comedy,"RP 53 54",10,097363349341
"2001: A Space Odyssey ",Sci-Fi,"T1 82",11,663286201235
2046,Drama,S5,12,043396117303
"28 Days Later",Sci-Fi,"T1 81",13,024543088172
"28 Weeks Later",Drama,,14,024543469902
"29 Palms",Drama,176,15,012236138587
300,Action,,16,012569736627
"3000 Miles To Graceland",Action,"GP 91 92",17,085392118823
3-Way,Crime,314,18,043396034884
"40 Year Old Virgin",Comedy,380,19,025192870620
"44 Minutes: The North Hollywood Shoot-Out",Crime,170,20,024543099130
"6th Day",Sci-Fi,"T1 119",21,043396050747
"7 Seconds",Action,130,22,043396111349
8MM,Mystery,167,23,043396028548
"8MM 2",Crime,183,24,043396127203
"9 Deaths of A Ninja",Action,"T1 81",25,603497284726
A.I.,Sci-Fi,"T1 89",26,667068956726
Abandon,Drama,383,27,097363380542
"Abba: Gold: Greatest Hits",Musical,S4,28,602498075586
ABCD,Drama,"CDISK2 1",29,720917542522
Ablaze,Action,"RP 37",30,024543048985
"Abnormal Beauty",Horror,S10,31,842498030257
"About Schmidt",Comedy,"DVDW1 114",32,794043631924
Abraxas,Adventure,"DVDW1 24",33,787364442096
Absolon,Sci-Fi,S13,34,031398107040
"Absolute Agression",Sci-Fi,"CDISK2 7",35,039414520200
Abyss,Sci-Fi,"BO 75 76",36,024543037828
"Accidental Spy (2001)",Action,"T1 91",37,786936178265
"Ace Ventura: Pet Detective",Comedy,"GP 84",38,085392300020
"Active Stealth",Adventure,"BS 25 26",39,024543055679
"Acts of Worship",Drama,"DVDW2 74",40,829567018620
Adaptation,Comedy,"DVDW2 13",41,043396076013
Addicted,Drama,S10,42,601641644747
"Adventure of Pluto Nash",Comedy,"GP2 90",43,085391904120
Adventurers,Action,S13,44,601643428147
"Adventures of Sharkboy and Lavagirl",Action,230,45,786936292763
"Æon Flux",Action,S7,46,097363337348
"Agency Cody Banks 2",Action,"T1 76",47,027616906847
"Agent Cody Banks",Action,"CDP1 62 63 64 65 66 67",48,027616887412
"Air America",Adventure,"CDISK2 12",49,039414597134
"Air Force One",Action,"BO 3 4",50,043396718890
Airplane,Comedy,133,51,097360130546
"Airplane II",Comedy,"CDISK3 71",52,097360148947
Akira,Anime,204,53,013023153899
Aladdin,Animation,"T1 110 111",54,786936223996
"Aladdin and the King of Thieves",Family,"T1 83",55,786936460933
Alamo,Drama,S1,56,786936229035
"Alex and Emma",Comedy,"DVDW1 70",57,085392838721
Alexander,Action,"CDISK2 127 128",58,012569704565
Alien,Sci-Fi,378,59,086162000751
"Alien Lockdown",Sci-Fi,"CDISK1 32",60,687797600196
"Alien vs. Predator",Horror,"CDISK3 29 30",61,024543157090
"Alien Worlds",Sci-Fi,"BS3 80 81 82 83",62,787364453498
"Alien: Resurrection (1997)",Sci-Fi,"RP 1 2",63,086162000768
"Alone In The Dark",Horror,"CDISK1 64",64,012236173977
Amacord,Drama,233,65,037429121825
"American Beauty (Awards Edition)",Drama,"CDP1 13 14 15",66,667068538229
"American Haunting",Drama,S13,67,012236201410
"American Ninja",Action,"BO2 53",68,027616867681
"American Pie",Comedy,"BB 55",69,025192145520
"American Pie 2",Comedy,"BB 56",70,025192176920
"American Psycho",Horror,221,71,025192094224
"American Psycho 2",Horror,221,72,031398805922
"American Werewolf In London",Comedy,"BO2 73 74",73,025192121920
"America's Sweethearts",Comedy,"GP2 21 22",74,043396063938
"Amityville Horror",Drama,304,75,027616120915
Anaconda,Thriller,"CDISK2 19",76,043396817593
"Anacondas: Hunt for The Blood Orchid",Horror,"CDISK1 70",77,043396032552
"Anatomy 2",Horror,S4,78,043396008328
"Anchorman: The Legend of Ron Burgundy",Comedy,"CDISK1 83",79,678149300529
"Ancient Warriors",Action,307,80,881273000528
"And Starring Pancho Villa as Himself",Biography,"DVDW1 4",81,013023267299
"Angel On Fire",Action,S13,82,601643451848
"Angela's Ashes",Drama,"T1 105",83,097363360773
"Anger Management",Comedy,"CDP1 98 99 100",84,043396100374
Animatrix,Action,"T1 86",85,085393731625
"Anna and The King",Romance,"BO2 45 46",86,024543000440
"Another Public Enemy",Action,S10,87,842498030332
Antitrust,Sci-Fi,"BO2 67 68",88,027616861436
Antz,Animation,"DVDW3 101",89,667068467123
"Anything Else",Comedy,S5,90,678149085228
"Apocalypse Now Redux",Action,"DVDW1 77",91,097360962949
"Apollo 13",Sci-Fi,"PO 17 18",92,025192046124
Aquamarine,Comedy,S9,93,024543247135
Arachnid,Sci-Fi,"BO 89",94,031398797425
"Are We There Yet",Comedy,10,95,043396069756
"Arlington Road",Thriller,S5,96,043396039261
Armageddon,Fantasy,"CDISK1 8",97,601643907345
Armageddon,Sci-Fi,"PO 47 48",98,717951000842
"Armitage III",Anime,"BS 43 44",99,013023100008
"Army of Darkness",Horror,"GP2 49 50",100,013131092691
"Army of One",Action,"GP2 79 80",101,012236116073
"Around the World in 80 Days",Adventure,"DVDW2 120",102,786936252477
Arrival,Sci-Fi,"CDISK2 44 45",103,012236114437
"Art of War",Action,"BO2 1 2",104,085391887126
"Art Pupil",Drama,"CDISK3 21",105,043396223097
Asoka,Action,S12,106,687797954091
Assassins,Action,"CDISK2 39",107,085391398721
"Assault on Precinct 13",Action,"CDISK1 67",108,025192629426
Assignment,Action,289,109,043396283596
"Astro Boy",Animation,192,110,013138201690
"Astro Boy",Animation,"PO 28",111,N/A
"Asylum of The Damned",Fantasy,"DVDW2 8",112,043396060289
"At First Sight",Romance,"BB 80 81 82",113,027616744722
"Atlantis The Lost Empire",Animation,"BO 79 80",114,786936166095
"Aussie Park Boyz",Action,399,115,783722726426
"Austin Powers in Goldmember",Action,"DVDW1 6",116,794043607820
"Austin Powers The Spy Who Shagged Me",Comedy,"BO 33 34",117,794043489129
"Austin Powers: International Man of Mystery",Comedy,S1,118,794043457722
"Autumn In New York",Romance,"DVDW2 20",119,027616857613
Aviator,Drama,"CDISK1 76",120,085393893927
Babe,Family,372,121,025192045523
"Baby Einstein: Language Nursery",Baby,"BS2 49 50",122,786936179705
"Baby Geniuses",Family,373,123,043396037113
"Bachelor Party",Comedy,310,124,024543016441
Backflash,Drama,"RP 4",125,786936190359
"Backstreet Boys - Great Video Hits Chaper One",Musical,"T1 90",126,012414177995
"Backstreet Boys All Access DVD",Musical,"BO2 16",127,012414158994
"Backstreet Boys: Around The World - Black & Blue",Musical,"BP 41",128,012414174796
"Bad Boys",Action,"BO 91 92",129,043396107120
"Bad Boys II",Action,"BC 50 51 52",130,043396006195
"Bad Company",Action,"CDISK3 91",131,786936052688
"Bad News Bears",Comedy,S3,132,097363445746
"Bad Santa",Comedy,"DVDW2 29",133,786936240467
Badge,Crime,"GP2 72 73 74",134,031398821229
"Balistic: Ecks vs. Sever",Action,229,135,085392341627
"Balls of Fury",Sports,"",136,025193184924
"Bambi II",Family,S6,137,786936240252
Bandits,Comedy,"GP2 17 18 19",138,027616873859
"Barb Wire",Action,"BO 77 78",139,780063992725
"Barbarella: Queen Of The Galaxy",Adventure,"PO 38",140,097360681277
"Barney - Best Manners (Invitation To Fun)",Family,"CDISK3 20",141,045986028181
"Barney: Happy, Mad, Silly, Sad",Family,"CDISK2 117 CDISK3 20",142,045986028358
"Bartok: The Magnificent",Animation,"CDISK3 88",143,086162126000
Basic,Thriller,"DVDW1 87",144,043396097452
"Batman Begins",Action,S7,145,012569594159
"Batman Beyond",Animation,"CDISK1 53",146,085391784821
"Battle Athletes #1: On Your Mark",Anime,"RP 33",147,013023012097
"Battle Athletes #2: Ready, Set, Go. Ready",Anime,"GP 89 90",148,013023012592
"Battle of the X-Planes",Documentary,"CDISK2 38",149,B00008YLV1
"Battle Plan Under Fire: Nova",Documentary,"CDISK3 78",150,783421378995
"Battlefield Earth",Sci-Fi,"BO 83 84",151,085391856627
"Battlestar Galactica",Sci-Fi,"CDISK1 105",152,025192380822
"Be Cool",Comedy,145,153,027616928412
Beach,Drama,"T1 92",154,024543001768
Bean,Comedy,303,155,025192266423
"Beautiful Killing Machine",Action,"GP 67",156,719987218024
"Beautiful Mind",Drama,"DVDW2 79",157,025192145025
"Beauty Shop",Comedy,330,158,027616929006
"Before Sunrise",Comedy,"T1 126",159,053939253122
"Before Sunset",Drama,"T1 127",160,085393896225
"Behind Enemy Lines",Action,"DVDW2 21",161,024543038023
"Behind The Sun",Drama,"T1 96",162,N/A
Below,Horror,"DVDW2 111",163,786936214673
Benchwarmers,Comedy,S11,164,043396138698
"Bendit Like Beckham",Comedy,"DVDW1 26",165,024543084266
"Beneath Loch Ness",Horror,"CDISK1 93",166,786936188660
"Best In Show",Comedy,S5,167,085391895121
"Best of Youth",Drama,S6,168,786936291193
Betsy,Drama,"DVDW2 54",169,012569086425
"Better Than Sex",Short,S5,170,043396003651
"Better Tomorrow 3",Action,S13,171,601643006840
"Better Tomorrow II",Crime,S13,172,013131125993
"Better Tomorrow, A",Action,"DVDW1 83",173,601643006642
"Beverly Hills Cop",Action,"CDISK2 75",174,097360113440
Bewitched,Comedy,140,175,043396102101
"Beyond Borders",Drama,S2,176,097363399247
"Bicentennial Man",Sci-Fi,"CDP1 83 84 85",177,717951004888
