platform,what,details,key,platformValue
Code,Screen orientation:iOS,https://catch.com/m/BuVEc/BrPDz7BE86X,,
Java,Redirection:Java,"What is the difference between RequestDispatcher's forward(ServletRequest request, ServletResponse response) method and HttpServletResponse's sendRedirect(String location) method?

http://www.jguru.com/faq/view.jsp?EID=1310997",,
,Value Proposition:Wicket,Everything is Java,,
,Start:Wicket,T extends WebApplication,,
,Common ORM:Wicket,Hibernate,,
,High Level Unit Test:Wicket,Wicket Tester,,
,Main Concepts:Tapestry,"Components
Pages
Services
Mixins
Model",,
,Value Proposition:Tapestry,Out of box CRUD,,
,Start:Tapestry,"app.services.
AppModule",,
,Automatic Accessors:Tapestry,@Property in Tapestry page,,
,Most Common UI:Tapestry,"t:type=""grid""
t:type=""beaneditform""",,
,Common ORM:Tapestry,Hibernate,,
,Core Framework:Tapestry,Tapestry Core,,
,Core IoC:Tapestry,Tapestry IoC,,
,Value Proposition:HTML5,"Everyone believes in it, easier on hardware than competitors",,
,Start:HTML5,index html,,
,Most Common UI:HTML5,"<table>
<div>
",,
,Object Dump:HTML5,console.log,,
,Common DB:HTML5,Local Storage,,
,Value Proposition:JQueryMobile,Turn your existing web app into mobile app easily,,
,Start:JQueryMobile,document.ready(),,
,Most Common UI:JQueryMobile,"<ul data-role=""listview"">",,
,Main Navigation:JQueryMobile,"Nested list or <a href=""nextpage.html"" rel=""external"">",,
,Common DB:JQueryMobile,WebSQL,,
,Core Framework:JQueryMobile,JQuery,,
,Main Concepts:iOS,"View (UI)
View Controller (workflow)
App Delegate (custom codes)
Class (main reuse, optional)",,
,Value Proposition:iOS,iPad is the market leader on tablet,,
,Start:iOS,"main.m, MainWindow.xib, XCode Main Interface/Info.plist, applicationDidFinishLaunching: method",,
,Default Constructor:iOS,[T alloc],,
,Automatic Accessors:iOS,@property in T.h @synthesize in T.m,,
,Method:iOS,"[[T alloc] init] Objective-C style

function(...) typical C style",,
,Method With Paramaters:iOS,"[[T alloc] initWithParameters:@""ViewController1"" bundle:nil]",,
,Most Common UI:iOS,"UITableView
UIView's CollageView",,
,Main Navigation:iOS,UINavigationController pushViewController,,
,Cell Accessory:iOS,"Disclosure Indicator - the usual right arrow
Detail disclosure button
Check mark",,
CODE,Self Reference:iOS,"self (not implicit; has to specify it even if the codes is in the class itself).

Exception seems like in the if(self = [super init]) { ...",,CODE
,Method Parameter Check:iOS,Run time,,
,Class Level Method:iOS,+,,
,Instance Level Method:iOS,-,,
,Object Dump:iOS,"NSLog(@""T: %@"", T)",,
,Most Common Method:iOS,"viewDidLoad
didFinishLaunchingWithOptions
didSelectRowAtIndexPath
",,
,Most Common Event:iOS,"UITouch
UIEvent",,
,Native UI Builder:iOS,Interface Builder (UI design and making connections to the codes),,
,Common ORM:iOS,CoreData,,
,Common DB:iOS,SQLite,,
,Core Framework:iOS,"UIKit (Cocoa Touch), Foundation and CoreGraphics (""Frameworks"" already installed on the device itself)",,
,Core MVC:iOS,"TClass, TViewController and TAppDelegate (can be specified either in main(), .xib file or in the protocol of a class header)",,
