platform,what,details,key,platformValue
,Parsing XML:iOS,http://www.cbeninati.com/i/?p=131,,
,Delegation:iOS,"Virtually all application in iOS deals with delegation, e.g. at least implementing UIApplicationDelegate protocol. UIApplicationDelegate allows a controller to listen to events like applicationDidFinishLaunching.",,
,Delegation:Android,Event delegation model in respect to handling UI events like onClick etc. This predates Android as it is a core mechanism used in Java Swing/JFC.,,
,Filtered List:iOS,"Implement UISearchDisplayDelegate and UISearchBarDelegate protocols for your UITableViewController, e.g.

@interface SearchViewController : UITableViewController<UISearchDisplayDelegate, UISearchBarDelegate>  {
...",,
,Optimization:GAEJ,"@Persistent
  @Extension(vendorName=""datanucleus"", key=""gae.unindexed"", value=""true"")
  private Link coverImageUrl;

It is not recommended to use unindexed property to speed up performance of jdo/jpa for the reasons specified in 
http://gae-java-persistence.blogspot.com/2009/11/unindexed-properties.html",,
,Mail:GAEJ,"GMail (IMAP based) can be used c.f. 

http://code.google.com/apis/gmail/docs/

http://code.google.com/p/app-engine-workarounds

But make sure to apply the patches (fix for plain/text attachments and attachment's file names) provided here (It's on the issue tracker for a long time):

http://code.google.com/p/app-engine-workarounds/issues/detail?id=3 http://code.google.com/p/app-engine-workarounds/issues/detail?id=4 ",,
,Camera 1:PhoneGap,"getPicture (third parameter is optional) e.g.

function capturePhoto(id) {
 navigator.camera.getPicture(onSuccess, onFail, { quality: 20, 
 destinationType: Camera.DestinationType.FILE_URI });
...

function onSuccess(imageURI) {
 var image = document.getElementById(id);
 image.style.display = 'block';
 image.src = imageURI;
}

function onFail(message) {
...",,
,Text:iOS,UITextField,,
,Big Text:iOS,UITextView,,
,Row Select:iOS,"- (void)tableView:(UITableView *)aTableView didSelectRowAtIndexPath:(NSIndexPath *)indexPath
",,
,Row Unselect:iOS,"- (void)tableView:(UITableView *)aTableView didDeselectRowAtIndexPath:(NSIndexPath *)indexPath
",,
,Persistence Manager:iOS,"NSFetchedResultsController e.g.

@property (nonatomic, retain) NSFetchedResultsController *fetchedResultsController;
",,
,Persistence Manager:GAEJ,Entitymanager,,
,Bottom Bar:WebOS,Commands Buttons,,
,Background Notification:WebOS,"To enable background applications to communicate with the user, Palm provides a notification system with two types of notifications:

Popup. Non-modal dialogs which are of fixed height and include at least one button to dismiss the dialog
Banner. Non-modal icon and single non-styled string of text",,
,String Comparison:iOS,"if ([text isEqualToString: @""Google""])
{
   ....
}",,
,String Comparison:Android,"if (text.contentEquals( ""Google"" ))
{
   ....
}",,
,Text Alignment:Android,"TextView textRegion = (TextView) findViewById(R.id.textRegion);
textRegion.setGravity(gravity);
where,

gravity =

Gravity.LEFT to align to left
Gravity.RIGHT to align to right
Gravity.CENTER to center the text",,
,Cell Style:iOS,"Default:
        cell = [[[UITableViewCell alloc] initWithStyle:UITableViewCellStyleDefault reuseIdentifier:CellIdentifier] autorelease];

Text with details:
        cell = [[[UITableViewCell alloc] initWithStyle:UITableViewCellStyleSubtitle reuseIdentifier:CellIdentifier] autorelease];

<img src='https://pc2mac.googlegroups.com/attach/af34be18c6670709/Screen+shot+2011-09-24+at+11.09.57+AM.png?view=1&part=4'/>",,
,Persistence Getter:iOS,"[info valueForKey:@""name""]",,
,Persistence Setter:iOS,"[managedObject setValue:summary forKey:@""summary""];
",,
,Database:PhoneGap,"window.openDatabase(""couriii.sqlite"","""",""Demo Database"",2000000);",,
,Audio:PhoneGap,"var i = 1;
var mediafile = [];
mediafile[0] = ""audiofile.wav"";
mediafile[1] = ""audiofile1.wav"";
mediafile[2] = ""audiofile2.wav"";

var myMedia = new Media(mediafile[0], playNext);
myMedia.play();

function playNext() {
    var myMedia2 = new Media(mediafile[i], planNext);
    myMedia2.play();
    i++;
}",,
,What:Bada,"Based on the TouchWiz UI, bada provides developers with flash control, web control, motion sensing, fine-tuned vibration control and face detection tools, complete with support for context-aware applications incorporating accelerometers, tilt, weather, proximity and activity sensors. It also integrate with device functions to make phone calls, send messages or access the contact list.",,
,Value Proposition:Bada,"Includes server platform, on top of client api/ui. Supports flash runtime out of the box.

BADA provides a framework for low as well has high end phones. (as opposed to Android which could be used only on high end phones).",,
,Language:Bada,"C++, Flash, WebKit and some low level C",,
,Version:Bada,2.0,,
,Optimization:Bada,Native Profiler and Performance Analyzer,,
,NFC:Bada,yes,,
,NFC:iOS,no,,
,NFC:Android,yes,,
,Portrait View:iOS,"Default -

- (void)splitViewController:(UISplitViewController *)svc willHideViewController:(UIViewController *)aViewController withBarButtonItem:(UIBarButtonItem *)barButtonItem forPopoverController: (UIPopoverController *)pc
{
    barButtonItem.title = @""List"";
    NSMutableArray *items = [[self.toolbar items] mutableCopy];
    [items insertObject:barButtonItem atIndex:0];
    [self.toolbar setItems:items animated:YES];
    [items release];
    self.popoverController = pc;
}",,
,Landscape View:iOS,"// Called when the view is shown again in the split view, invalidating the button and popover controller.
- (void)splitViewController:(UISplitViewController *)svc willShowViewController:(UIViewController *)aViewController invalidatingBarButtonItem:(UIBarButtonItem *)barButtonItem
{
    NSMutableArray *items = [[self.toolbar items] mutableCopy];
    [items removeObjectAtIndex:0];
    [self.toolbar setItems:items animated:YES];
    [items release];
    self.popoverController = nil;
}",,
,Split View Master:iOS,RootViewController with default NavigationBar,,
,Split View Detail:iOS,DetailViewController with default ToolBar,,
,Email:Android,"Intent emailIntent = new Intent(android.content.Intent.ACTION_SEND); 
emailIntent.setType(""plain/text"");
emailIntent.putExtra(android.content.Intent.EXTRA_EMAIL, new String[]{""webmaster@website.com""});
emailIntent.putExtra(android.content.Intent.EXTRA_SUBJECT, ""mySubject"");
emailIntent.putExtra(android.content.Intent.EXTRA_TEXT, ""myBodyText"");
startActivity(Intent.createChooser(emailIntent, ""Send mail...""));",,
,No Phone in Web:iOS,"- (void)webViewDidStartLoad:(UIWebView *)theWebView 
{
    // disable telephone detection, basically <meta name=""format-detection"" content=""telephone=no"" />
    theWebView.dataDetectorTypes = UIDataDetectorTypeAll ^ UIDataDetectorTypePhoneNumber;

    return [ super webViewDidStartLoad:theWebView ];
}",,
,Camera:Android,"  final Intent intent = new Intent(MediaStore.ACTION_IMAGE_CAPTURE);

  intent.putExtra(MediaStore.EXTRA_OUTPUT, Uri.fromFile(getTempFile(this)) ); 

  startActivityForResult(intent, TAKE_PHOTO_CODE);",,
,Data Encapsulation:iOS,"#import ""MyClass.h""

Creating a Class Extension lets one define some methods and properties that are going to be used within a class not intended to be exposed to other classes in a header file, e.g.

@interface MyClass ()
- (void) somePrivetMethod
- (void) somePrivteOtherMethod
@end

@implementation MyClass
...",,
,Method Modifier:iOS,"+ class
- instance level
static - function, seen only the class where it is defined",,
,Handle UI Event:Android," //implement the onClick method
        public void onClick(View v) {
           // Perform action on click
          switch(v.getId()) {
            case R.id.buttonplay:
              //Play voicefile
              MediaPlayer.create(getBaseContext(), R.raw.voicefile).start();
              break;
            case R.id.buttonstop:
              //Stop MediaPlayer
              MediaPlayer.create(getBaseContext(), R.raw.voicefile).stop();
              break;
          }
       }",,
,Get Image:Android,"ImageView image = (ImageView) findViewById(R.id.test_image);
Bitmap bMap = BitmapFactory.decodeResource(getResources(), R.drawable.icon);

http://www.higherpass.com/Android/Tutorials/Working-With-Images-In-Android/2/",,
,Fixed Orientation:Android,"<activity android:name="".YourActivity"" android:screenOrientation=""portrait"" ></activity>
This doesn't work well with tablets that have a default orientation of landscape.

<android android:name="".YourActivity"" android:screenOrientation=""nosensor"" ></activity>
This makes it so that the device's orientation doesn't respond to the sensor.

http://stackoverflow.com/questions/6605986/android-natural-sensor-orientation-help",,
,Relative Layout:Android,"<RelativeLayout ...
        <Button 
 		android:id=""@+id/backbutton""
 		android:text=""Back""
 		android:layout_width=""wrap_content""
 		android:layout_height=""wrap_content"" />
	<TextView
   		android:id=""@+id/firstName""
   		android:text=""First Name""
   		android:layout_width=""wrap_content""
   		android:layout_height=""wrap_content""
   		android:layout_below=""@id/backbutton"" />

id, text (if applicable), layout_width and layout_height are generated automatically by ADT.",,
,IPC 1:Android,"Instead of using startActivity (one way), use startActivityForResult

intent.putExtra - parameter is a Bundle (key/value pairs) and listen for results back in onActivityResult

intent.getExtras - in the sub activity

http://mobileorchard.com/android-app-development-using-intents-to-pass-data-and-return-results-between-activities/",,
