Genre,UPC,MovieID,CatalogNo,Title
Drama,707729162926,1,172,10.5
Drama,707729109723,2,PO 89 90 91 92 93 94,10th Kingdom
Drama,794043838927,3,312,11:14
Romance,043396014213,4,CDISK2 20,13 Going 30
Horror,039414581393,5,308,13th Child
Action,794043516627,6,GP2 15 16,15 Minutes
Action,012569810402,7,S9,16 Blocks
Comedy,723952077141,8,CDISK2 13,2 B Perfectly Honest
Action,025192297526,9,BC 26 27,2 Fast 2 Furious
Comedy,097363349341,10,RP 53 54,200 Cigarettes
Sci-Fi,663286201235,11,T1 82,2001: A Space Odyssey 
Drama,043396117303,12,S5,2046
Sci-Fi,024543088172,13,T1 81,28 Days Later
Drama,024543469902,14,,28 Weeks Later
Drama,012236138587,15,176,29 Palms
Action,012569736627,16,,300
Action,085392118823,17,GP 91 92,3000 Miles To Graceland
Crime,043396034884,18,314,3-Way
Comedy,025192870620,19,380,40 Year Old Virgin
Crime,024543099130,20,170,44 Minutes: The North Hollywood Shoot-Out
Sci-Fi,043396050747,21,T1 119,6th Day
Action,043396111349,22,130,7 Seconds
Mystery,043396028548,23,167,8MM
Crime,043396127203,24,183,8MM 2
Action,603497284726,25,T1 81,9 Deaths of A Ninja
Sci-Fi,667068956726,26,T1 89,A.I.
Drama,097363380542,27,383,Abandon
Musical,602498075586,28,S4,Abba: Gold: Greatest Hits
Drama,720917542522,29,CDISK2 1,ABCD
Action,024543048985,30,RP 37,Ablaze
Horror,842498030257,31,S10,Abnormal Beauty
Comedy,794043631924,32,DVDW1 114,About Schmidt
Adventure,787364442096,33,DVDW1 24,Abraxas
Sci-Fi,031398107040,34,S13,Absolon
Sci-Fi,039414520200,35,CDISK2 7,Absolute Agression
Sci-Fi,024543037828,36,BO 75 76,Abyss
Action,786936178265,37,T1 91,Accidental Spy (2001)
Comedy,085392300020,38,GP 84,Ace Ventura: Pet Detective
Adventure,024543055679,39,BS 25 26,Active Stealth
Drama,829567018620,40,DVDW2 74,Acts of Worship
Comedy,043396076013,41,DVDW2 13,Adaptation
